,INCIDENTNEIGHBORHOOD,OFFENSES
2664,Brighton Heights,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another"
2222,Brighton Heights,9999 9999 - (Misc. Incident): 
2174,Brighton Heights,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
2460,Brighton Heights,9999 9999 - (Misc. Incident): 
53,Brighton Heights,9999 9999 - (Misc. Incident): Non-Reportable Accident
2925,Brighton Heights,9495 Suicide
2783,Brighton Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2008,Brighton Heights,9489 Found Property
2346,Brighton Heights,9998 Overdose Other
2401,Brighton Heights,9498 302 (Mental)
2438,Brighton Heights,"9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities / 3334 Turning Movements and Required Signals. / 7122 Altered, Forged or Counterfeit Documents and Plates"
2125,Brighton Heights,9999 9999 - (Misc. Incident): 
2254,Brighton Heights,9490 Missing Persons (18 and Over)
2308,Brighton Heights,2709 Harassment (Non-Specific)
2267,Brighton Heights,3934 Theft from Vehicle
2771,Brighton Heights,5505 Public Drunkenness
41,Brighton Heights,3802(a)(1) DUI - General Impairment
2409,Brookline,9498 302 (Mental)
1600,Brookline,3743 Accidents Involving Damage to Attended Veh. or Property
227,Brookline,9497 Aided Case
218,Brookline,3304 Criminal Mischief.
1771,Brookline,9497 Aided Case
775,Brookline,9999 9999 - (Misc. Incident): 
2172,Brookline,"9999 9999 - (Misc. Incident): A female driver believes she struck a construction vehicle, and fled the scene.  "
1010,Brookline,3921(a) Theft by Unlawful Taking or Disposition - Movable item
990,Brookline,3921 Theft by Unlawful Taking or Disposition.
1522,Brookline,2701 Simple Assault.
2375,Brookline,3743 Accidents Involving Damage to Attended Veh. or Property / 1785 Proof of Financial Responsibility Following Accident.
2792,Brookline,9999 9999 - (Misc. Incident): 
1528,Brookline,9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked.
69,Brookline,2709(a)(4) Harassment Communicates Prohibited Acts
2286,Brookline,4120 Identity Theft
1069,Brookline,9994 PFA Service
2295,Brookline,9994 PFA Service
2763,Brookline,9999 9999 - (Misc. Incident): 
1642,Brookline,4915 Failure to Comply with Megans Law
2307,Brookline,3743 Accidents Involving Damage to Attended Veh. or Property
545,Brookline,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1657,Brookline,3922 Theft by Deception.
1118,Brookline,2709 Harassment (Non-Specific)
243,Brookline,9497 Aided Case
508,Brookline,9999 9999 - (Misc. Incident): 
1027,Brookline,9999 9999 - (Misc. Incident): 
1543,Brookline,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
2212,Brookline,9498 302 (Mental)
96,Brookline,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3503 Criminal Trespass
234,Brookline,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1709,Brookline,3745 Accidents Involving Damage to Unattended Veh.or Prop.
564,Brookline,9498 302 (Mental)
2200,Brookline,2701 Simple Assault.
237,Brookline,9498 302 (Mental)
195,Brookline,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5506 Loitering and Prowling at Night / 2709.2 Stalking Conduct or Repeatedly Communicates
70,Brookline,2701 Simple Assault.
2886,Brookline,3921 Theft by Unlawful Taking or Disposition.
2917,Brookline,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1434,Brookline,2701 Simple Assault.
2062,Brookline,9994 PFA Service
1890,Brookline,9497 Aided Case
1414,Brookline,8106 Shots Fired
2860,Brookline,3304 Criminal Mischief.
1387,Brookline,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief. / 3503 Criminal Trespass
1856,Brookline,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
692,Brookline,9496 Dead on Arrival (DOA)
2830,Brookline,3701 Robbery.
2864,Brookline,9496 Dead on Arrival (DOA)
176,Brookline,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2479,Brookline,9497 Aided Case
1871,Brookline,9999 9999 - (Misc. Incident): 
362,Brookline,2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 907 Possessing Instruments of Crime.
1318,Brookline,3921 Theft by Unlawful Taking or Disposition.
2476,Brookline,9497 Aided Case
1316,Brookline,2709(a) Harassment.
1949,Brookline,4120 Identity Theft / 4106 Access Device Fraud
2425,Brookline,9498 302 (Mental)
1234,Brookline,9999 9999 - (Misc. Incident): 
1981,Brookline,9496 Dead on Arrival (DOA)
1984,Brookline,9016 Check on Elderly Person
2430,Brookline,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.
161,Brookline,9017 Found Drugs
1440,Brookline,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
1838,Brookline,3304 Criminal Mischief.
2835,Brookline,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 903 Criminal Conspiracy.
1992,Brookline,2709(a) Harassment.
2495,Brookline,9093 Indirect Criminal Contempt
415,California-Kirkbride,9501 Bench Warrant
2769,California-Kirkbride,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property.
12,California-Kirkbride,9497 Aided Case
2259,California-Kirkbride,9496 Dead on Arrival (DOA)
2944,California-Kirkbride,"6106 Firearms not to be Carried without a License. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6110.1 Possesion of Firearm by Minor"
1326,California-Kirkbride,9012 Non-Violent Domestic
1610,California-Kirkbride,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1334,California-Kirkbride,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities
2230,California-Kirkbride,3304 Criminal Mischief. / 3302 Causing or Risking Catastrophe.
700,California-Kirkbride,9994 PFA Service
2817,California-Kirkbride,9489 Found Property
2121,California-Kirkbride,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item
1468,California-Kirkbride,9489 Found Property
986,California-Kirkbride,9998 Overdose Other
1133,California-Kirkbride,4915 Failure to Comply with Megans Law
2597,California-Kirkbride,9489 Found Property
320,California-Kirkbride,9017 Found Drugs
701,California-Kirkbride,9994 PFA Service
146,Carrick,9999 9999 - (Misc. Incident): 
658,Carrick,9093 Indirect Criminal Contempt
255,Carrick,9496 Dead on Arrival (DOA)
1150,Carrick,3743 Accidents Involving Damage to Attended Veh. or Property
1220,Carrick,9994 PFA Service
1293,Carrick,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
1464,Carrick,9998 Overdose Other
1089,Carrick,3502 Burglary.
2426,Carrick,3502 Burglary.
140,Carrick,9993 PFA Service with Weapons Supplement
1444,Carrick,3934 Theft from Vehicle
1250,Carrick,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2393,Carrick,9999 9999 - (Misc. Incident): 
2291,Carrick,9999 9999 - (Misc. Incident): Attempted break in
2636,Carrick,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 3304 Criminal Mischief.
570,Carrick,029 Missing Juvenile
682,Carrick,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2470,Carrick,3934 Theft from Vehicle
172,Carrick,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
562,Carrick,3304 Criminal Mischief.
2674,Carrick,3502 Burglary.
2481,Carrick,029 Missing Juvenile
1424,Carrick,2709(a) Harassment.
715,Carrick,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
557,Carrick,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
1110,Carrick,2706 Terroristic Threats. / 3503 Criminal Trespass / 2709(b) Stalking
1136,Carrick,9498 302 (Mental)
236,Carrick,2706 Terroristic Threats.
2483,Carrick,3745 Accidents Involving Damage to Unattended Veh.or Prop.
587,Carrick,3502 Burglary. / 907 Possessing Instruments of Crime.
1497,Carrick,029 Missing Juvenile
1142,Carrick,3921 Theft by Unlawful Taking or Disposition.
1211,Carrick,9093 Indirect Criminal Contempt
1357,Carrick,4106 Access Device Fraud
2637,Carrick,3304 Criminal Mischief.
89,Carrick,9489 Found Property
746,Carrick,3921 Theft by Unlawful Taking or Disposition.
260,Carrick,4120 Identity Theft
306,Carrick,9129 Miscellaneous Investigation
47,Carrick,3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants)
987,Carrick,029 Missing Juvenile
1759,Carrick,3502 Burglary.
315,Carrick,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1785 Proof of Financial Responsibility Following Accident.
316,Carrick,2701 Simple Assault.
777,Carrick,4120 Identity Theft / 4106 Access Device Fraud
977,Carrick,9497 Aided Case
2128,Carrick,5104 Resisting Arrest or Other Law Enforcement. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance
1065,Carrick,029 Missing Juvenile
1808,Carrick,4106 Access Device Fraud
337,Carrick,4912 Impersonating a Public Servant. / 901 Criminal Attempt
342,Carrick,9489 Found Property
443,Carrick,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
349,Carrick,3541 Obedience of Peds to Traff. Control Devices and Regs.
436,Carrick,029 Missing Juvenile
934,Carrick,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
837,Carrick,9504 Lost Property
383,Carrick,9994 PFA Service
1974,Carrick,9496 Dead on Arrival (DOA)
1936,Carrick,029 Missing Juvenile
2936,Carrick,9999 9999 - (Misc. Incident): 
2935,Carrick,9999 9999 - (Misc. Incident): 
2197,Carrick,2709(a) Harassment.
2924,Carrick,3743 Accidents Involving Damage to Attended Veh. or Property
2884,Carrick,9501 Bench Warrant
894,Carrick,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2047,Carrick,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
1863,Carrick,9501 Bench Warrant
2049,Carrick,9994 PFA Service
1851,Carrick,9994 PFA Service
2034,Carrick,4106 Access Device Fraud
1732,Carrick,2709(a) Harassment. / 3304 Criminal Mischief.
452,Carrick,029 Missing Juvenile
1011,Carrick,9994 PFA Service
666,Carrick,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
747,Carrick,029 Missing Juvenile
2766,Carrick,3742 Accidents Involving Death or Personal Injury / 1543 Driving While Operating Privilege is Suspended or Revoked.
487,Carrick,9498 302 (Mental)
2782,Carrick,13(a)(30)* Delivery of Controlled Substance
1684,Carrick,9994 PFA Service
497,Carrick,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
2202,Carrick,2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE
1015,Carrick,9093 Indirect Criminal Contempt
1661,Carrick,9093 Indirect Criminal Contempt
1726,Carrick,3743 Accidents Involving Damage to Attended Veh. or Property / 1301 Registration and Certificate of Title Required. / 1786 Required Financial Responsibility.
2651,Central Business District,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
877,Central Business District,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 1786 Required Financial Responsibility.
879,Central Business District,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF"
1208,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1205,Central Business District,3929 Retail Theft.
2909,Central Business District,5505 Public Drunkenness
1045,Central Business District,4106 Access Device Fraud
1044,Central Business District,5104 Resisting Arrest or Other Law Enforcement. / 3802(a)(1) DUI - General Impairment
1196,Central Business District,5104 Resisting Arrest or Other Law Enforcement. / 3802(a)(1) DUI - General Impairment
2680,Central Business District,601.16 Public Urination And Defecation
1193,Central Business District,3304 Criminal Mischief.
2871,Central Business District,2701 Simple Assault.
1190,Central Business District,2706 Terroristic Threats.
2582,Central Business District,3742 Accidents Involving Death or Personal Injury / 3746 Immediate Notice of Accident to Police Department
913,Central Business District,9496 Dead on Arrival (DOA)
1037,Central Business District,9497 Aided Case
919,Central Business District,100 Fugitive
1095,Central Business District,5505 Public Drunkenness
864,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1209,Central Business District,5505 Public Drunkenness
860,Central Business District,3928 Unauthorized Use of Automobile and Other Vehicles.
2735,Central Business District,601.16 Public Urination And Defecation
1120,Central Business District,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
1247,Central Business District,9999 9999 - (Misc. Incident): Suspicious email
1242,Central Business District,9497 Aided Case
2573,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property / 1786 Required Financial Responsibility.
2576,Central Business District,9498 302 (Mental)
1235,Central Business District,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1301 Registration and Certificate of Title Required. / 3714 Careless Driving / 6503.1 Habitual Offenders / 1786 Required Financial Responsibility. / 3301 Driving on Right Side of Roadway. / 3802(a)(1) DUI - General Impairment / 627.02(b)(i) Possessing a small amount of marijuana
2949,Central Business District,3921 Theft by Unlawful Taking or Disposition.
2948,Central Business District,3926.C1 THEFT OF SERVICES
2762,Central Business District,9498 302 (Mental)
1073,Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2579,Central Business District,9998 Overdose Other
843,Central Business District,3921 Theft by Unlawful Taking or Disposition.
1074,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1214,Central Business District,2702 Aggravated Assault.
2757,Central Business District,2702 Aggravated Assault.
854,Central Business District,2709(a)(4) Harassment Communicates Prohibited Acts
856,Central Business District,9999 9999 - (Misc. Incident): Gun Threatened or Seen  / 9090 Recovered Firearm
2725,Central Business District,2706 Terroristic Threats. / 3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s) / 5505 Public Drunkenness / 5503 Disorderly Conduct.
1180,Central Business District,9998 Overdose Other
2855,Central Business District,601.16 Public Urination And Defecation
1179,Central Business District,2701 Simple Assault.
2631,Central Business District,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF"
2828,Central Business District,9501 Bench Warrant / 9129 Miscellaneous Investigation
964,Central Business District,5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5507(b)(1)(i) REFUSES TO MOVE - OBSTRUCT HIGHWAY
2824,Central Business District,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities
2823,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
2789,Central Business District,9498 302 (Mental)
974,Central Business District,3503(b.1) Criminal Trespass - Simple Trespasser
2639,Central Business District,9498 302 (Mental)
1024,Central Business District,9124 Drug Investigation
1145,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
975,Central Business District,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
2696,Central Business District,9497 Aided Case
984,Central Business District,9496 Dead on Arrival (DOA)
2665,Central Business District,9999 9999 - (Misc. Incident): 
1018,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
1128,Central Business District,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30)* Delivery of Controlled Substance
1117,Central Business District,2709(a) Harassment.
1131,Central Business District,2701 Simple Assault.
1144,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2806,Central Business District,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident
2630,Central Business District,601.16 Public Urination And Defecation
2681,Central Business District,3921 Theft by Unlawful Taking or Disposition.
1099,Central Business District,9489 Found Property
1175,Central Business District,5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF
